Player,Age,Pos,GP,G,A,S,PS,BLK,-9999
Nikita Chibrikov,20,RW,1,1,0,3,0.2,0,chibrni01
Declan Chisholm,24,D,2,0,1,0,0.2,2,chishde01
Rasmus Kupari,23,C,28,0,1,28,-0.5,10,kuparra01
Brad Lambert,20,C,1,0,1,2,0.1,1,lambebr01
Colin Miller,31,D,5,0,1,4,0.0,4,milleco02
Laurent Brossoit,30,G,23,0,0,0,5.1,0,brossla01
Connor Hellebuyck,30,G,60,0,0,0,13.6,0,helleco01
Nathan MacKinnon,28,C,82,51,89,405,16.0,69,mackina01
Mikko Rantanen,27,RW,80,42,62,271,11.2,49,rantami01
Cale Makar,25,D,77,21,69,231,12.3,148,makarca01
Jonathan Drouin,28,LW,79,19,37,127,4.9,33,drouijo01
Valeri Nichushkin,28,RW,54,28,25,158,5.8,24,nichuva01
Devon Toews,29,D,82,12,38,159,8.6,110,toewsde01
Ross Colton,27,C,80,17,23,146,3.1,46,coltoro01
Artturi Lehkonen,28,LW,45,16,18,103,3.6,18,lehkoar01
Miles Wood,28,LW,74,9,17,167,1.3,35,woodmi01
Logan O'Connor,27,RW,57,13,12,85,2.5,38,oconnlo01
Josh Manson,32,D,76,8,17,123,4.4,109,mansojo01
Ryan Johansen,31,C,63,13,10,78,1.6,15,johanry01
Bowen Byram,22,D,55,8,12,63,3.1,75,byrambo01
Andrew Cogliano,36,LW,75,6,13,61,1.3,40,coglian01
Samuel Girard,25,D,59,3,15,73,2.4,99,girarsa01
Jack Johnson,37,D,80,3,13,76,3.3,89,johnsja02
Zach Parise,39,LW,30,5,5,50,0.4,25,parisza01
Casey Mittelstadt,25,C,18,4,6,25,0.7,8,mitteca01
Sam Malinski,25,D,23,3,7,31,1.6,22,malinsa01
Joel Kiviranta,27,F,56,3,6,48,0.1,31,kivirjo01
Fredrik Olofsson,27,LW,57,3,6,45,-0.1,29,olofsfr01
Tomáš Tatar,33,LW,27,1,8,19,0.4,10,tatarto01
Sean Walker,29,D,18,4,3,41,1.3,29,walkese01
