Player,Age,Pos,GP,G,A,S,PS,BLK,-9999
A.J. Greer,27,LW,59,6,6,57,0.6,24,greeraj01
Matthew Coronato,21,RW,34,3,6,58,-0.1,7,coronma01
Adam Ružička,24,C,39,3,6,34,0.2,15,ruzicad01
Dryden Hunt,28,LW,28,3,5,33,0.6,6,huntdr01
Oliver Kylington,26,D,33,3,5,42,1.1,51,kylinol01
Dillon Dubé,25,C,43,3,4,42,-0.3,18,dubedi01
Daniil Miromanov,26,D,20,3,4,40,1.3,29,miromda01
Walker Duehr,26,F,40,2,5,29,0.2,13,duehrwa01
Dennis Gilbert,27,D,34,1,6,23,0.6,49,gilbede01
Brayden Pachal,24,D,33,1,5,34,1.0,45,pachabr01
Nikita Zadorov,28,D,21,1,5,29,0.6,19,zadorni01
Nick DeSimone,29,D,23,1,4,19,0.5,21,desimni01
Jacob Markström,34,G,48,0,5,0,8.2,0,marksja02
Kevin Rooney,30,C,33,3,1,27,-0.1,29,rooneke01
Jakob Pelletier,22,LW,13,1,2,9,0.2,3,pelleja01
Ilya Solovyov,23,D,10,0,3,10,0.2,17,solovil01
Joel Hanley,32,D,10,1,1,7,0.4,15,hanlejo01
Jordan Oesterle,31,D,22,0,2,18,0.0,33,oestejo01
Adam Klapka,23,F,6,1,0,4,0.1,3,klapkad01
Nikita Okhotyuk,23,D,9,0,1,4,0.0,8,okhotni01
Yan Kuznetsov,21,D,1,0,0,2,-0.1,1,kuzneya01
Cole Schwindt,22,RW,4,0,0,1,-0.1,1,schwico01
Daniel Vladař,26,G,20,0,0,0,2.0,0,vladada01
Dustin Wolf,22,G,17,0,0,0,2.2,0,wolfdu01
Artemi Panarin,32,LW,82,49,71,303,14.3,15,panarar01
Vincent Trocheck,30,C,82,25,52,215,7.7,86,trochvi01
Chris Kreider,32,LW,82,39,36,246,9.3,20,kreidch01
Adam Fox,25,D,72,17,56,137,11.9,123,foxad01
Mika Zibanejad,30,C,81,26,46,221,7.5,55,zibanmi01
Alexis Lafrenière,22,LW,82,28,29,217,6.1,21,lafreal01
Erik Gustafsson,31,D,76,6,25,93,5.1,66,gustaer02
K'Andre Miller,24,D,80,8,22,96,5.8,117,milleka01
Jimmy Vesey,30,LW,80,13,13,116,2.1,28,veseyji02
Jacob Trouba,29,D,69,3,19,129,3.6,183,troubja01
William Cuylle,21,LW,81,13,8,119,1.8,26,cuyllwi01
Blake Wheeler,37,RW,54,9,12,83,1.9,31,wheelbl01
Kaapo Kakko,22,RW,61,13,6,91,2.0,18,kakkoka01
Jonny Brodzinski,30,C,57,6,13,89,1.3,24,brodzjo01
Braden Schneider,22,D,82,5,14,95,3.6,133,schnebr01
Ryan Lindgren,25,D,76,3,14,73,5.0,103,lindgry01
Barclay Goodrow,30,RW,80,4,8,61,-0.5,86,goodrba01
Zachary Jones,23,D,31,2,7,42,1.6,23,jonesza01
Jack Roslovic,27,C,19,3,5,31,0.6,5,rosloja01
Filip Chytil,24,C,10,0,6,22,0.3,4,chytifi01
Nick Bonino,35,C,45,1,4,31,-0.7,78,boninni01
Alexander Wennberg,29,C,19,1,4,10,0.1,10,wennbal01
Tyler Pitlick,32,C,34,1,3,32,-0.3,15,pitlity01
Adam Edstrom,23,C,11,2,0,7,0.3,2,edstrad01
Matt Rempe,21,C,17,1,1,12,0.2,5,rempema01
Jonathan Quick,38,G,27,0,1,0,5.0,0,quickjo01
Igor Shesterkin,28,G,55,0,1,1,10.7,0,shestig01
Anton Blidh,28,LW,1,0,0,1,0.0,0,blidhan01
Louis Domingue,31,G,1,0,0,0,0.3,0,dominlo01
Jake Leschyshyn,24,C,1,0,0,0,0.0,1,leschja01
Connor Mackey,27,D,1,0,0,1,0.1,3,mackeco01
Riley Nash,34,C,1,0,0,1,0.0,0,nashri02
Brennan Othmann,21,LW,3,0,0,6,0.0,1,othmabr01
Chad Ruhwedel,33,D,5,0,0,1,-0.1,7,ruhwech01
Brandon Scanlin,24,D,1,0,0,0,0.0,0,scanlbr01
Sebastian Aho,26,F,78,36,53,216,10.9,18,ahose01
Seth Jarvis,21,C,81,33,34,176,8.1,52,jarvise01
Teuvo Teräväinen,29,F,76,25,28,142,6.1,26,teravte01
Martin Nečas,25,C,77,24,29,231,5.0,31,necasma01
Andrei Svechnikov,23,RW,59,19,33,144,5.8,22,svechan01
Brady Skjei,29,D,80,13,34,185,8.8,90,skjeibr01
Brent Burns,38,D,82,10,33,185,8.5,87,burnsbr01
Stefan Noesen,30,RW,81,14,23,111,3.9,25,noesest01
Jaccob Slavin,29,D,81,6,31,151,7.6,120,slavija01
Michael Bunting,28,LW,60,13,23,113,2.8,15,buntimi01
Jordan Martinook,31,LW,82,14,18,148,2.6,36,martijo01
Jordan Staal,35,C,80,10,20,123,1.5,41,staaljo01
Jesperi Kotkaniemi,23,C,79,12,15,128,2.1,33,kotkaje01
Jack Drury,23,C,74,8,19,106,2.1,35,druryja01
Dmitry Orlov,32,D,82,6,20,129,5.0,60,orlovdm01
Jake Guentzel,29,C,17,8,17,53,3.3,7,guentja01
Jalen Chatfield,27,D,72,8,14,90,5.2,66,chatfja01
Jesper Fast,32,RW,73,6,13,79,1.0,23,fastje01
Brett Pesce,29,D,70,3,10,107,3.9,113,pescebr01
Tony DeAngelo,28,D,31,3,8,44,1.3,18,deangan01
Evgeny Kuznetsov,31,C,20,2,5,27,0.4,6,kuzneev01
Brendan Lemieux,27,LW,32,3,2,29,0.4,6,lemiebr01
Vasiliy Ponomarev,21,C,2,1,1,1,0.3,1,ponomva01
Frederik Andersen,34,G,16,0,1,0,3.5,0,anderfr01
Max Comtois,25,LW,1,0,1,1,0.1,0,comtoma01
Jackson Blake,20,RW,1,0,0,2,-0.1,0,blakeja02
Callahan Burke,26,C,1,0,0,0,0.0,0,burkeca01
Dylan Coghlan,25,D,1,0,0,3,-0.1,3,coghldy01
Pyotr Kochetkov,24,G,42,0,0,0,6.7,0,kochepy01
Spencer Martin,28,G,6,0,0,0,0.8,0,martisp01
Scott Morrow,21,D,2,0,0,6,-0.2,2,morrosc02
Bradly Nadeau,18,LW,1,0,0,3,-0.1,1,nadeabr01
Yaniv Perets,23,G,1,0,0,0,0.0,0,peretya01
Antti Raanta,34,G,24,0,0,0,1.3,0,raantan01
Mathew Barzal,26,C,80,23,57,240,7.1,52,barzama01
Noah Dobson,24,D,79,10,60,174,9.9,180,dobsono01
Brock Nelson,32,C,82,34,35,250,7.3,47,nelsobr01
Bo Horvat,28,C,81,33,35,248,7.1,42,horvabo01
Kyle Palmieri,32,RW,82,30,24,218,5.2,42,palmiky01
Anders Lee,33,LW,81,20,17,185,3.5,54,leean01
Jean-Gabriel Pageau,31,C,82,11,22,101,1.8,81,pageaje01
Pierre Engvall,27,LW,74,10,18,128,1.9,21,engvapi01
Simon Holmström,22,RW,75,15,10,72,2.3,46,holmssi01
Mike Reilly,30,D,59,6,18,119,3.6,57,reillmi01
Casey Cizikas,32,C,70,10,13,82,1.5,71,cizikca01
Alexander Romanov,24,D,81,7,15,117,5.6,171,romanal01
Cal Clutterbuck,36,RW,82,7,12,59,1.0,55,cluttca01
Ryan Pulock,29,D,58,5,14,90,3.4,149,pulocry01
Adam Pelech,29,D,58,1,15,71,2.3,111,pelecad01
Hudson Fasching,28,RW,45,4,10,41,0.6,31,faschhu01
Julien Gauthier,26,RW,27,5,4,32,0.7,17,gauthju01
Kyle MacLean,24,F,32,4,5,26,0.9,6,macleky01
Sebastian Ahos,27,D,58,2,7,48,1.2,72,ahose02
Matt Martin,34,LW,57,4,4,48,0.5,29,martima02
Oliver Wahlstrom,23,RW,32,2,4,41,0.0,22,wahlsol01
Samuel Bolduc,23,D,34,2,3,32,0.7,40,boldusa01
Scott Mayfield,31,D,41,0,5,36,0.5,106,mayfisc01
Ilya Sorokin,28,G,56,0,2,0,11.4,0,sorokil01
Ruslan Iskhakov,23,C,1,0,1,2,0.1,0,iskharu01
Kenneth Appleby,28,G,1,0,0,0,-0.1,0,appleke01
Robert Bortuzzo,34,D,23,0,0,10,0.1,48,borturo01
Grant Hutton,28,D,2,0,0,0,0.1,1,huttogr01
Semyon Varlamov,35,G,28,0,0,0,6.0,0,varlasi01
Dylan Strome,26,C,82,27,40,169,6.5,61,stromdy01
Alex Ovechkin,38,LW,79,31,34,272,6.3,27,ovechal01
John Carlson,34,D,82,10,42,176,8.4,194,carlsjo01
Tom Wilson,29,RW,74,18,17,169,2.5,74,wilsoto01
Anthony Mantha,29,RW,56,20,14,90,4.2,21,manthan01
Connor McMichael,23,C,80,18,15,135,2.4,39,mcmicco01
Aliaksei Protas,23,C,78,6,23,113,1.7,49,protaal01
T.J. Oshie,37,C,52,12,13,90,2.1,56,oshietj01
Sonny Milano,27,LW,49,15,8,50,2.9,16,milanso01
Max Pacioretty,35,LW,47,4,19,95,1.1,22,pacioma01
Rasmus Sandin,23,D,68,3,20,79,3.5,106,sandira01
Nic Dowd,33,C,64,12,10,61,1.8,72,dowdni01
Hendrix Lapierre,21,C,51,8,14,51,2.0,31,lapiehe01
Beck Malenstyn,25,LW,81,6,15,98,0.9,93,malenbe01
Evgeny Kuznetsov,31,C,43,6,11,69,0.7,12,kuzneev01
Nicolas Aubé-Kubel,27,RW,60,6,10,58,1.2,26,aubekni01
Martin Fehérváry,24,D,66,3,13,61,3.1,109,feherma01
Nick Jensen,33,D,78,1,13,71,2.9,123,jenseni02
Trevor van Riemsdyk,32,D,70,0,14,75,2.7,103,vanritr01
Michael Sgarbossa,31,C,25,4,3,27,0.7,3,sgarbmi01
Ivan Miroshnichenko,19,LW,21,2,4,30,0.3,5,mirosiv01
Joel Edmundson,30,D,44,1,5,41,1.3,49,edmunjo01
Matthew Phillips,25,F,28,1,4,17,0.1,14,phillma01
Ethan Bear,26,D,24,1,3,24,0.6,31,bearet01
Alexander Alexeyev,24,D,39,1,2,20,0.5,59,alexeal01
Nicklas Bäckström,36,C,8,0,1,12,-0.2,5,backsni02
Hardy Haman Aktell,25,D,6,0,1,5,0.0,5,hamanha01
Lucas Johansen,26,D,6,0,1,4,0.3,7,johanlu01
Darcy Kuemper,33,G,33,0,1,0,4.2,0,kuempda01
Dylan McIlrath,31,D,3,0,1,1,0.2,1,mcilrdy01
Pierrick Dube,23,F,3,0,0,3,0.0,3,dubepi01
Vincent Iorio,21,D,6,0,0,6,0.2,3,ioriovi01
Charlie Lindgren,30,G,50,0,0,0,9.4,0,lindgch01
Hunter Shepard,28,G,4,0,0,0,0.6,0,shepahu01
Joe Snively,28,F,3,0,0,0,-0.1,0,snivejo01
Sidney Crosby,36,C,82,42,52,278,10.7,37,crosbsi01
Evgeni Malkin,37,C,82,27,40,199,6.7,42,malkiev01
Bryan Rust,31,RW,62,28,28,196,6.5,51,rustbr01
Erik Karlsson,33,D,82,11,45,213,8.3,99,karlser01
Jake Guentzel,29,C,50,22,30,185,5.8,21,guentja01
Kris Letang,36,D,82,10,41,164,8.4,136,letankr01
Reilly Smith,32,RW,76,13,27,152,3.2,28,smithre01
Rickard Rakell,30,RW,70,15,22,165,3.2,40,rakelri01
Drew O'Connor,25,F,79,16,17,160,3.2,58,oconndr01
Lars Eller,34,C,82,15,16,154,2.2,56,ellerla01
Marcus Pettersson,27,D,82,4,26,106,6.7,159,pettema01
Valtteri Puustinen,24,RW,52,5,15,86,1.5,33,puustva01
Michael Bunting,28,LW,21,6,13,55,1.7,6,buntimi01
Jeff Carter,39,C,72,11,4,90,0.7,33,carteje01
Ryan Graves,28,D,70,3,11,77,3.3,142,gravery01
Pierre-Olivier Joseph,24,D,52,2,9,42,1.6,44,joseppi01
Noel Acciari,32,C,55,4,3,59,-0.4,85,acciano01
Radim Zohorna,27,F,33,4,3,38,0.5,5,zohorra01
Emil Bemström,24,C,24,3,2,34,0.4,13,bemstem01
John Ludvig,23,D,33,3,2,24,0.2,33,ludvijo01
Jesse Puljujärvi,25,RW,22,3,1,29,0.4,6,puljuje01
Matthew Nieto,31,LW,22,1,3,13,0.2,9,nietoma01
Chad Ruhwedel,33,D,47,1,3,34,0.6,37,ruhwech01
Jansen Harkins,26,C,45,0,4,37,-0.4,13,harkija01
Vinnie Hinostroza,29,C,14,1,2,27,0.0,7,hinosvi01
Jonathan Gruden,23,C,13,1,0,9,-0.1,5,grudejo02
Tristan Jarry,28,G,51,1,0,3,7.8,0,jarrytr01
Ryan Shea,26,D,31,1,0,17,0.6,24,sheary01
John St. Ivany,24,D,14,0,1,11,0.2,14,stivajo01
Magnus Hellberg,32,G,3,0,0,0,0.5,0,hellbma01
Marc Johnstone,27,F,1,0,0,0,0.0,0,johnsma04
Joona Koppanen,25,LW,4,0,0,4,-0.1,2,koppajo01
Alex Nedeljkovic,28,G,38,0,0,0,5.8,0,nedelal01
Alexander Nylander,25,LW,5,0,0,10,-0.1,3,nylanal01
Matthew Phillips,25,F,3,0,0,4,-0.1,1,phillma01
Samuel Poulin,22,RW,3,0,0,2,-0.1,3,poulisa01
Colin White,27,C,11,0,0,8,-0.3,5,whiteco02
Travis Konecny,26,C,76,33,35,244,8.0,32,konectr01
Owen Tippett,24,RW,78,28,25,289,6.0,47,tippeow01
Joel Farabee,23,LW,82,22,28,182,4.7,50,farabjo01
Travis Sanheim,27,D,81,10,34,146,6.3,149,sanhetr01
Morgan Frost,24,C,71,13,28,135,3.9,55,frostmo01
Scott Laughton,29,C,82,13,26,167,3.0,56,laughsc01
Sean Couturier,31,C,74,11,27,192,2.6,41,coutuse01
Tyson Foerster,22,RW,77,20,13,167,3.3,49,foersty01
Cameron York,23,D,82,10,20,134,5.3,174,yorkca01
Cam Atkinson,34,RW,70,13,15,175,1.6,46,atkinca01
Ryan Poehling,25,C,77,11,17,111,1.8,101,poehlry01
Bobby Brink,22,RW,57,11,12,81,2.3,24,brinkbo01
Sean Walker,29,D,63,6,16,109,5.0,98,walkese01
Yegor Zamula,23,D,66,5,16,61,4.1,79,zamulye01
Noah Cates,24,LW,59,6,12,78,0.9,35,catesno01
Garnet Hathaway,32,RW,82,7,10,103,0.6,73,hathaga01
Nick Seeler,30,D,71,1,12,100,3.5,205,seeleni01
Jamie Drysdale,21,D,24,2,3,34,0.0,27,drysdja01
Olle Lycksell,24,RW,18,1,4,29,0.3,4,lycksol01
Marc Staal,37,D,35,1,4,20,1.3,44,staalma01
Louis Belpedio,27,D,12,2,2,12,1.2,18,belpelo01
Nicolas Deslauriers,32,LW,60,1,3,49,-0.5,21,deslani01
Rasmus Ristolainen,29,D,31,1,3,46,0.7,45,ristora01
Erik Johnson,35,D,17,2,1,20,0.2,29,johnser01
Ronald Attard,24,D,12,0,2,14,0.5,14,attarro01
Adam Ginning,24,D,9,1,0,6,0.4,9,ginniad01
Carter Hart,25,G,26,0,1,0,4.4,0,hartca01
Emil Andrae,21,D,4,0,0,0,0.0,6,andraem01
Samuel Ersson,24,G,51,0,0,0,5.3,0,erssosa01
Ivan Fedotov,27,G,3,0,0,0,-0.2,0,fedotiv01
Rhett Gardner,27,C,1,0,0,0,0.0,1,gardnrh01
Denis Gurianov,26,RW,4,0,0,4,-0.1,0,guriade01
Victor Mete,25,D,1,0,0,0,0.0,1,metevi01
Calvin Petersen,29,G,5,0,0,0,0.2,0,peterca01
Felix Sandström,27,G,5,0,0,0,-0.2,0,sandsfe01
Jesper Bratt,25,W,82,27,56,248,8.2,33,brattje01
Jack Hughes,22,C,62,27,47,274,7.5,24,hugheja03
Nico Hischier,25,C,71,27,40,182,7.0,42,hischni01
Timo Meier,27,RW,69,28,24,207,5.0,42,meierti01
Luke Hughes,20,D,82,9,38,135,5.1,55,hughelu01
Tyler Toffoli,31,C,61,26,18,179,4.7,8,toffoty01
Erik Haula,32,LW,76,16,19,156,3.0,49,haulaer01
Dawson Mercer,22,C,82,20,13,134,2.1,43,merceda01
Ondřej Palát,32,LW,71,11,20,108,2.1,49,palaton01
Alexander Holtz,22,RW,82,16,12,122,2.3,17,holtzal01
Curtis Lazar,28,C,71,7,18,74,2.2,64,lazarcu01
John Marino,26,D,75,4,21,57,3.7,89,marinjo01
Michael McLeod,25,C,45,10,9,73,2.0,22,mcleomi01
Simon Nemec,19,D,60,3,16,73,2.6,105,nemecsi01
Dougie Hamilton,30,D,20,5,11,61,1.8,24,hamildo01
Brendan Smith,34,D,63,5,10,60,2.6,101,smithbr05
Nathan Bastian,26,RW,54,5,7,57,0.5,27,bastina01
Chris Tierney,29,C,52,4,8,26,1.0,12,tiernch01
Kevin Bahl,23,D,82,1,10,63,2.4,103,bahlke01
Jonas Siegenthaler,26,D,57,1,8,63,1.3,97,siegejo01
Colin Miller,31,D,41,4,4,65,2.4,33,milleco02
Tomáš Nosek,31,C,36,2,4,38,-0.3,20,nosekto01
Maxwell Willman,28,C,18,3,1,17,0.5,7,willmma01
Nick DeSimone,29,D,11,1,1,9,0.9,21,desimni01
Santeri Hatakka,23,D,12,0,2,12,0.7,12,hataksa01
Akira Schmid,23,G,19,0,2,0,2.2,0,schmiak01
Justin Dowling,33,C,2,1,0,3,0.1,1,dowliju01
Nolan Foote,23,LW,4,1,0,6,0.1,2,footeno01
Nico Daws,23,G,21,0,1,0,2.7,0,dawsni01
Callan Foote,25,D,4,0,1,0,0.4,9,footeca01
Kurtis MacDermid,29,D,16,0,1,4,0.2,2,macdeku01
Vítek Vaněček,28,G,32,0,1,0,3.8,0,vanecvi01
Jake Allen,33,G,13,0,0,0,2.2,0,allenja01
Shane Bowers,24,C,8,0,0,7,-0.1,3,bowersh01
Graeme Clarke,22,RW,3,0,0,2,-0.1,0,clarkgr01
Brian Halonen,25,F,2,0,0,2,0.0,0,halonbr01
Kaapo Kähkönen,27,G,6,0,0,0,1.1,0,kahkoka01
Samuel Laberge,26,W,2,0,0,0,0.0,0,labersa01
Johnny Gaudreau,30,LW,81,12,48,160,3.5,23,gaudrjo01
Zach Werenski,26,D,70,11,46,202,7.8,130,werenza01
Kirill Marchenko,23,RW,78,23,19,193,4.0,39,marchki01
Boone Jenner,30,C,58,22,13,155,3.3,74,jennebo01
Dmitri Voronkov,23,LW,75,18,16,142,3.1,48,vorondi01
Cole Sillinger,20,C,77,13,19,157,2.1,74,sillico01
Ivan Provorov,27,D,82,5,27,107,4.1,155,provoiv01
Alexandre Texier,24,C,78,12,18,109,1.9,36,texieal01
Yegor Chinakhov,22,RW,53,16,13,110,2.9,28,chinaye01
Damon Severson,29,D,67,9,19,88,3.8,83,severda01
Adam Fantilli,19,C,49,12,15,115,1.7,25,fantiad01
Justin Danforth,30,RW,71,10,16,86,1.4,46,danfoju01
Erik Gudbranson,32,D,78,6,20,91,3.2,170,gudbrer01
Jack Roslovic,27,C,40,6,17,86,1.4,19,rosloja01
Sean Kuraly,31,C,62,9,9,92,1.0,34,kuralse01
Kent Johnson,21,C,42,6,10,62,1.1,16,johnske01
Alexander Nylander,25,LW,23,11,4,62,1.8,9,nylanal01
Jake Bean,25,D,72,4,9,76,1.7,110,beanja01
Mathieu Olivier,26,F,54,5,7,55,0.5,36,olivima01
Emil Bemström,24,C,32,5,6,49,0.7,21,bemstem01
Adam Boqvist,23,D,35,1,9,45,0.9,42,boqviad01
David Jiříček,20,D,43,1,9,38,1.2,45,jiricda01
Patrik Laine,25,RW,18,6,3,41,0.6,14,lainepa01
Andrew Peeke,25,D,23,1,7,24,1.0,47,peekean01
Brendan Gaunce,29,C,24,2,2,24,-0.1,8,gauncbr01
James Malatesta,20,LW,11,2,2,12,0.4,2,malatja01
Trey Fix-Wolansky,24,RW,11,2,1,17,0.3,6,fixwotr01
Carson Meyer,26,RW,14,1,1,10,0.0,2,meyerca01
Jake Christiansen,24,D,12,0,2,7,-0.1,15,chrisja01
Mikael Pyyhtia,22,LW,17,0,2,22,-0.4,20,pyyhtmi01
Nick Blankenburg,25,D,12,1,0,10,0.4,15,blankni01
Luca Del Bel Belluz,20,C,1,1,0,2,0.2,0,delbelu01
Eric Robinson,28,LW,7,1,0,9,-0.1,3,robiner01
Tyler Angle,23,C,2,0,0,0,-0.1,1,anglety01
Gavin Brindley,19,C,1,0,0,0,0.0,0,brindga01
Cameron Butler,21,F,1,0,0,0,0.0,0,butleca01
Liam Foudy,23,C,1,0,0,0,0.0,0,foudyli01
Jet Greaves,22,G,9,0,0,0,2.0,0,greavje01
Spencer Martin,28,G,13,0,0,0,1.5,0,martisp01
Elvis Merzļikins,29,G,41,0,0,0,6.5,0,merzlel01
Malcolm Subban,30,G,1,0,0,0,0.2,0,subbama01
Daniil Tarasov,24,G,24,0,0,0,5.0,0,tarasda02
Sam Reinhart,28,C,82,57,37,233,13.1,66,reinhsa01
Matthew Tkachuk,26,LW,80,26,62,280,9.4,28,tkachma01
Aleksander Barkov,28,C,73,23,57,193,9.0,50,barkoal01
Carter Verhaeghe,28,C,76,34,38,246,8.8,20,verhaca01
Sam Bennett,27,C,69,20,21,171,4.8,43,bennesa01
Evan Rodrigues,30,C,80,12,27,186,4.0,28,rodriev01
Gustav Forsling,27,D,79,10,29,160,10.6,102,forslgu02
Anton Lundell,22,C,78,13,22,166,3.5,40,lundean01
Brandon Montour,29,D,66,8,25,168,5.6,67,montobr01
Oliver Ekman-Larsson,32,D,80,9,23,123,6.2,70,ekmanol01
Eetu Luostarinen,25,C,82,12,15,119,1.8,56,luostee01
Dmitry Kulikov,33,D,76,1,19,74,4.4,84,kulikdm01
Aaron Ekblad,27,D,51,4,14,98,5.2,59,ekblaaa01
Niko Mikkola,27,D,82,3,14,93,4.4,124,mikkoni01
Kevin Stenlund,27,C,81,11,4,81,0.6,55,stenlke01
Nick Cousins,30,C,69,7,8,111,0.9,33,cousini01
Vladimir Tarasenko,32,RW,19,6,8,39,1.5,9,tarasvl01
Josh Mahura,25,D,30,0,9,25,1.1,27,mahurjo01
Ryan Lomberg,29,LW,75,5,2,68,0.0,21,lombery01
Jonah Gadjovich,25,LW,39,2,2,29,0.1,14,gadjojo01
Uvis Balinskis,27,D,26,1,2,22,0.8,15,balinuv01
Steven Lorentz,27,C,38,1,2,30,-0.5,14,lorenst01
Sergei Bobrovsky,35,G,58,0,2,0,10.9,0,bobrose01
Anthony Stolarz,30,G,27,0,2,1,5.5,0,stolaan01
William Lockwood,25,RW,26,0,1,19,-0.2,8,lockwwi01
Tobias Björnfot,22,D,1,0,0,1,0.0,2,bjornto01
Kyle Okposo,35,RW,6,0,0,8,-0.1,1,okposky01
Mike Reilly,30,D,2,0,0,7,-0.1,3,reillmi01
Mackie Samoskevich,21,RW,7,0,0,11,-0.2,3,samosma01
Justin Sourdif,21,RW,3,0,0,2,0.0,2,sourdju01
David Pastrňák,27,RW,82,47,63,382,13.3,19,pastrda01
Brad Marchand,35,LW,82,29,38,207,6.8,35,marchbr03
Charlie Coyle,31,C,82,25,35,147,5.7,60,coylech01
Pavel Zacha,26,C,78,21,38,148,5.9,34,zachapa01
Charlie McAvoy,26,D,74,12,35,133,7.6,159,mcavoch01
Jake DeBrusk,27,LW,80,19,21,183,3.7,48,debruja01
Trent Frederic,25,C,82,18,22,123,4.1,52,fredetr01
Morgan Geekie,25,C,76,17,22,130,3.7,50,geekimo01
James van Riemsdyk,34,LW,71,11,27,142,3.4,22,vanrija01
Danton Heinen,28,C,74,17,19,119,4.0,46,heineda01
Hampus Lindholm,30,D,73,3,23,99,5.6,100,lindhha01
Kevin Shattenkirk,35,D,61,6,18,78,3.6,85,shattke01
Matthew Poitras,19,C,33,5,10,40,1.4,15,poitrma01
Jesper Boqvist,25,C,47,6,8,51,1.5,15,boqvije01
Brandon Carlo,27,D,76,4,10,79,4.7,140,carlobr01
Mason Lohrei,23,D,41,4,9,43,2.1,63,lohrema01
Matt Grzelcyk,30,D,63,2,9,59,3.2,76,grzelma01
John Beecher,22,C,52,7,3,38,0.5,34,beechjo01
Jakub Lauko,23,C,60,2,8,43,0.1,24,laukoja01
Parker Wotherspoon,26,D,41,0,8,32,1.8,67,wothepa01
Justin Brazeau,25,F,19,5,2,31,1.0,12,brazeju01
Derek Forbort,31,D,35,0,4,22,1.5,65,forbode01
Anthony Richard,27,C,9,1,2,6,0.2,5,richaan01
Milan Lucic,35,LW,4,0,2,1,0.1,2,lucicmi01
Ian Mitchell,25,D,13,0,2,11,0.8,13,mitchia01
Andrew Peeke,25,D,15,0,2,13,0.5,31,peekean01
Marc McLaughlin,24,F,1,1,0,2,0.2,1,mclauma01
Oskar Steen,25,C,34,1,0,24,-0.4,19,steenos01
Patrick Brown,31,C,11,0,1,7,-0.2,3,brownpa02
Jeremy Swayman,25,G,44,0,1,1,9.1,0,swaymje01
Linus Ullmark,30,G,40,0,1,0,8.3,0,ullmali01
Pat Maroon,35,LW,2,0,0,2,0.0,0,maroopa01
Jayson Megna,33,C,1,0,0,0,0.0,0,megnaja01
Georgii Merkulov,23,F,4,0,0,3,0.0,4,merkuge01
Auston Matthews,26,C,81,69,38,369,15.1,93,matthau01
William Nylander,27,C,82,40,58,316,10.4,29,nylanwi01
Mitch Marner,26,RW,69,26,59,158,8.8,51,marnemi01
John Tavares,33,C,80,29,36,279,6.5,37,tavarjo01
Morgan Rielly,29,D,72,7,51,173,7.3,137,riellmo01
Max Domi,28,LW,80,9,38,137,3.7,22,domima01
Tyler Bertuzzi,28,LW,80,21,22,160,3.9,44,bertuty01
Matthew Knies,21,LW,80,15,20,115,3.1,30,kniesma01
Jake McCabe,30,D,73,8,20,73,5.4,129,mccabja01
Nicholas Robertson,22,LW,56,14,13,96,2.9,24,roberni01
T.J. Brodie,33,D,78,1,25,52,4.3,159,broditj01
Bobby McMann,27,F,56,15,9,118,3.0,18,mcmanbo02
Timothy Liljegren,24,D,55,3,20,62,3.1,116,liljeti01
Calle Järnkrok,32,C,52,10,11,92,2.1,13,jarnkca01
David Kämpf,29,C,78,8,11,79,0.5,29,kampfda01
Pontus Holmberg,24,RW,54,7,10,54,1.5,42,holmbpo01
Noah Gregor,25,C,63,6,6,110,0.1,26,gregono01
Conor Timmins,25,D,25,1,9,25,1.8,28,timmico01
Mark Giordano,40,D,46,3,6,59,2.1,86,giordma01
Ryan Reaves,37,RW,49,4,2,26,-0.3,17,reavery01
Simon Benoit,25,D,64,1,4,52,1.4,102,benoisi01
Connor Dewar,24,C,17,1,4,20,0.1,11,dewarco01
John Klingberg,31,D,14,0,5,14,0.1,15,klingjo01
William Lagesson,27,D,30,0,4,12,0.9,39,lageswi01
Ilya Lyubushkin,29,D,19,0,4,9,0.6,30,lyubuil01
Maxime Lajoie,26,D,7,0,1,1,0.2,7,lajoima01
Ilya Samsonov,26,G,40,0,1,0,4.7,0,samsoil01
Joel Edmundson,30,D,9,0,0,5,0.3,16,edmunjo01
Martin Jones,34,G,22,0,0,0,3.2,0,jonesma02
Fraser Minten,19,C,4,0,0,3,-0.1,1,mintefr01
Marshall Rifai,25,D,2,0,0,1,0.1,1,rifaima01
Alex Steeves,24,F,1,0,0,1,-0.1,0,steeval02
Joseph Woll,25,G,25,0,0,0,4.7,0,wolljo01
Nikita Kucherov,30,RW,81,44,100,306,15.5,35,kucheni01
Brayden Point,27,C,81,46,44,227,9.8,44,pointbr01
Steven Stamkos,33,C,79,40,41,262,8.5,43,stamkst01
Victor Hedman,33,D,78,13,63,168,11.6,102,hedmavi01
Brandon Hagel,25,LW,82,26,49,184,7.2,45,hagelbr01
Nick Paul,28,LW,82,24,22,153,3.8,42,paulni01
Anthony Cirelli,26,C,79,20,25,129,3.9,75,cirelan01
Darren Raddysh,27,D,82,6,27,101,4.9,105,raddyda01
Michael Eyssimont,27,C,81,11,14,149,2.2,31,eyssimi01
Nicklaus Perbix,25,D,77,2,22,57,4.3,114,perbini01
Mikhail Sergachev,25,D,34,2,17,53,1.5,69,sergami01
Anthony Duclair,28,LW,17,8,7,31,2.0,7,duclaan01
Conor Sheary,31,LW,57,4,11,50,0.7,35,shearco01
